# MJD	Densities (cm^3)
59000.009722	3.79
59000.010417	3.65
59000.011111	3.67
59000.011806	3.71
59000.012500	3.58
59000.013194	3.66
59000.013889	4.15
59000.014583	4.62
59000.015278	4.58
59000.015972	4.40
59000.016667	4.40
59000.017361	4.56
59000.018056	4.66
59000.018750	5.74
59000.019444	6.06
59000.020139	6.10
59000.020833	3.58
59000.021528	3.43
59000.022222	3.59
59000.022917	3.46
59000.023611	4.46
59000.024306	3.53
59000.025000	3.65
59000.025694	3.35
59000.026389	3.31
59000.027083	3.25
59000.027778	3.64
59000.028472	4.32
59000.029167	2.91
59000.029861	2.92
59000.030556	3.30
59000.031250	2.80
59000.031944	2.84
59000.032639	2.73
59000.033333	2.88
59000.034028	3.00
59000.034722	3.15
59000.035417	3.30
59000.036111	3.21
59000.036806	3.32
59000.037500	3.53
59000.038194	4.17
59000.038889	2.58
59000.039583	2.60
59000.040278	2.63
59000.040972	2.61
59000.041667	2.64
59000.042361	2.59
59000.043056	2.65
59000.043750	2.52
59000.044444	2.58
59000.045139	2.65
59000.045833	2.63
59000.046528	2.66
59000.047222	2.66
59000.047917	2.70
59000.048611	2.53
59000.049306	2.47
59000.050000	2.56
59000.050694	2.59
59000.051389	2.66
59000.052083	2.81
59000.052778	2.68
59000.053472	2.67
59000.054167	2.69
59000.054861	2.51
59000.055556	2.52
59000.056250	2.62
59000.056944	2.83
59000.057639	2.86
59000.058333	2.68
59000.059028	2.63
59000.059722	2.43
59000.060417	2.38
59000.061111	2.30
59000.061806	2.39
59000.062500	2.31
59000.063194	2.26
59000.063889	2.20
59000.064583	2.26
59000.065278	2.25
59000.065972	2.22
59000.066667	2.24
59000.067361	2.15
59000.068056	2.23
59000.068750	2.21
59000.069444	2.03
59000.070139	2.05
59000.070833	1.99
59000.071528	1.95
59000.072222	1.82
59000.072917	1.91
59000.073611	2.00
59000.074306	2.03
59000.075000	2.02
59000.075694	2.12
59000.076389	2.22
59000.077083	2.29
59000.077778	2.40
59000.078472	2.36
59000.079167	2.32
59000.079861	2.50
59000.080556	2.42
59000.081250	2.72
59000.081944	3.32
59000.082639	3.36
59000.083333	3.34
59000.084028	3.46
59000.084722	3.58
59000.085417	3.93
59000.086111	4.05
59000.086806	4.91
59000.087500	4.64
59000.088194	4.77
59000.088889	4.66
59000.089583	4.74
59000.090278	4.89
59000.090972	4.76
59000.091667	4.90
59000.092361	4.99
59000.093056	4.94
59000.093750	4.87
59000.094444	4.91
59000.095139	5.02
59000.095833	5.06
59000.096528	5.05
59000.097222	5.12
59000.097917	5.10
59000.098611	5.07
59000.099306	5.10
59000.100000	5.05
59000.100694	5.16
59000.101389	5.25
59000.102083	4.92
59000.102778	4.90
59000.103472	4.80
59000.104167	4.99
59000.104861	5.12
59000.105556	4.85
59000.106250	4.85
59000.106944	5.12
59000.107639	5.04
59000.108333	4.80
59000.109028	4.86
59000.109722	4.81
59000.110417	4.75
59000.111111	4.77
59000.111806	4.89
59000.112500	5.12
59000.113194	5.10
59000.113889	5.13
59000.114583	5.16
59000.115278	5.19
59000.115972	5.03
59000.116667	5.08
59000.117361	5.14
59000.118056	5.34
59000.118750	5.05
59000.119444	5.05
59000.120139	4.89
59000.120833	4.75
59000.121528	4.78
59000.122222	4.39
59000.122917	4.48
59000.123611	4.53
59000.124306	4.58
59000.125000	4.84
59000.125694	4.99
59000.126389	4.91
59000.127083	5.26
59000.127778	5.77
59000.128472	4.64
59000.129167	4.62
59000.129861	4.77
59000.130556	4.71
59000.131250	4.82
59000.131944	4.92
59000.132639	4.78
59000.133333	4.82
59000.134028	4.81
59000.134722	4.95
59000.135417	4.80
59000.136111	4.61
59000.136806	4.76
59000.137500	4.77
59000.138194	4.88
59000.138889	4.86
59000.139583	4.80
59000.140278	4.78
59000.140972	4.79
59000.141667	4.80
59000.142361	4.62
59000.143056	4.79
59000.143750	4.79
59000.144444	4.82
59000.145139	4.80
59000.145833	4.70
59000.146528	4.58
59000.147222	4.63
59000.147917	4.72
59000.148611	4.76
59000.149306	4.84
59000.150000	4.78
59000.150694	4.59
59000.151389	4.86
59000.152083	4.69
59000.152778	4.81
59000.153472	4.83
59000.154167	5.17
59000.154861	4.98
59000.155556	5.06
59000.156250	4.74
59000.156944	4.79
59000.157639	4.58
59000.158333	4.77
59000.159028	4.77
59000.159722	4.93
59000.160417	4.95
59000.161111	5.34
59000.161806	5.21
59000.162500	5.42
59000.163194	5.25
59000.163889	5.36
59000.164583	5.15
59000.165278	5.29
59000.165972	5.28
59000.166667	5.36
59000.167361	5.13
59000.168056	5.00
59000.168750	4.83
59000.169444	4.93
59000.170139	4.87
59000.170833	4.79
59000.171528	4.71
59000.172222	4.51
59000.172917	4.71
59000.173611	4.51
59000.174306	4.64
59000.175000	4.69
59000.175694	4.86
59000.176389	4.84
59000.177083	4.81
59000.177778	4.73
59000.178472	4.78
59000.179167	4.61
59000.179861	4.51
59000.180556	4.49
59000.181250	4.66
59000.181944	4.68
59000.182639	4.67
59000.183333	4.71
59000.184028	4.65
59000.184722	4.68
59000.185417	4.64
59000.186111	4.51
59000.186806	4.57
59000.187500	4.55
59000.188194	4.54
59000.188889	4.55
59000.189583	4.47
59000.190278	4.50
59000.190972	4.46
59000.191667	4.40
59000.192361	4.18
59000.193056	4.23
59000.193750	4.21
59000.194444	4.49
59000.195139	4.43
59000.195833	4.49
59000.196528	4.42
59000.197222	4.71
59000.197917	4.33
59000.198611	4.40
59000.199306	4.52
59000.200000	4.41
59000.200694	4.48
59000.201389	4.30
59000.202083	4.02
59000.202778	4.17
59000.203472	4.11
59000.204167	4.07
59000.204861	4.02
59000.205556	3.91
59000.206250	4.11
59000.206944	4.84
59000.207639	4.42
59000.208333	4.28
59000.209028	4.40
59000.209722	4.30
59000.210417	4.39
59000.211111	4.31
59000.211806	4.32
59000.212500	4.74
59000.213194	4.54
59000.213889	4.56
59000.214583	4.55
59000.215278	4.59
59000.215972	4.63
59000.216667	4.68
59000.217361	4.57
59000.218056	4.60
59000.218750	4.82
59000.219444	4.80
59000.220139	4.72
59000.220833	4.65
59000.221528	4.68
59000.222222	4.58
59000.222917	4.63
59000.223611	4.56
