# MJD	Densities (cm^3)
56401.000694	1.98
56401.004167	1.95
56401.007639	2.09
56401.011111	1.77
56401.014583	2.01
56401.018056	1.98
56401.021528	2.06
56401.025000	2.04
56401.028472	1.94
56401.031944	1.94
56401.035417	1.88
56401.038889	1.76
56401.042361	1.65
56401.045833	1.76
56401.049306	1.44
56401.052778	1.34
56401.056250	1.49
56401.059722	1.24
56401.063194	1.17
56401.066667	1.29
56401.070139	1.17
56401.073611	1.24
56401.077083	1.29
56401.080556	1.35
56401.084028	1.44
56401.087500	1.51
56401.090972	1.44
56401.094444	1.40
56401.097917	1.42
56401.101389	1.46
56401.104861	1.38
56401.108333	1.48
56401.111806	1.56
56401.115278	1.44
56401.122222	1.36
56401.125694	1.42
56401.129167	1.59
56401.132639	1.40
56401.136111	1.41
56401.139583	1.31
56401.143056	1.32
56401.146528	1.45
56401.150000	1.51
56401.153472	1.37
56401.156944	1.41
56401.160417	1.44
56401.163889	1.25
56401.167361	1.39
56401.170833	1.39
56401.174306	1.30
56401.177778	1.32
56401.181250	1.28
56401.184722	1.31
56401.188194	1.36
56401.191667	1.28
56401.195139	1.44
56401.198611	1.31
56401.202083	1.27
56401.205556	1.23
56401.209028	1.28
56401.212500	1.26
56401.215972	1.36
56401.219444	1.51
56401.222917	1.34
56401.226389	1.18
56401.229861	1.27
56401.233333	1.31
56401.236806	1.36
56401.240278	1.39
56401.243750	1.50
56401.247222	1.30
56401.250694	1.43
56401.254167	1.46
56401.257639	1.41
56401.261111	1.43
56401.264583	1.37
56401.268056	1.44
56401.271528	1.37
56401.275000	1.25
56401.278472	1.41
56401.281944	1.41
56401.285417	1.33
56401.295833	1.44
56401.299306	1.47
56401.302778	1.36
56401.306250	1.23
56401.313194	1.41
56401.316667	1.45
56401.320139	1.45
56401.323611	1.32
56401.327083	1.33
56401.330556	1.37
56401.334028	1.48
56401.337500	1.33
56401.340972	1.43
56401.351389	1.50
56401.354861	1.23
56401.361806	1.42
56401.368750	1.40
56401.375694	1.35
56401.379167	1.26
56401.382639	1.27
56401.386111	1.27
56401.389583	1.14
56401.393056	1.26
56401.396528	1.34
56401.400000	1.28
56401.403472	1.26
56401.406944	1.16
56401.410417	1.19
56401.413889	1.26
56401.417361	1.27
56401.420833	1.45
56401.424306	1.34
56401.427778	1.39
56401.431250	1.41
56401.434722	1.46
56401.438194	1.25
56401.441667	1.39
56401.445139	1.28
56401.448611	1.57
56401.452083	1.61
56401.455556	1.48
56401.459028	1.47
56401.462500	1.42
56401.465972	1.40
56401.469444	1.29
56401.472917	1.18
56401.476389	1.12
56401.479861	1.10
56401.483333	1.42
56401.486806	1.19
56401.490278	1.25
56401.493750	1.31
56401.497222	1.24
56401.500694	1.39
56401.504167	1.24
56401.507639	1.35
56401.511111	1.14
56401.514583	1.18
56401.518056	1.25
56401.521528	1.17
56401.525000	1.28
56401.528472	0.97
56401.531944	1.33
56401.535417	1.54
56401.538889	1.39
56401.542361	1.41
56401.545833	1.68
56401.549306	1.43
56401.553472	1.60
56401.556944	1.63
56401.560417	1.54
56401.563889	1.22
56401.567361	1.27
56401.570833	1.22
56401.574306	1.66
56401.577778	1.65
56401.581250	1.69
56401.584722	1.79
56401.588194	1.85
56401.591667	1.41
56401.595139	1.42
56401.598611	1.62
56401.602083	1.68
56401.605556	1.69
56401.609028	2.25
56401.612500	2.15
56401.615972	2.33
56401.619444	2.12
56401.622917	2.11
56401.626389	1.97
56401.629861	1.92
56401.633333	1.87
56401.636806	1.68
56401.640278	1.97
56401.643750	1.98
56401.647222	1.82
56401.650694	1.96
56401.654167	1.75
56401.657639	1.42
56401.661111	1.77
56401.664583	1.68
56401.668056	1.78
56401.671528	1.74
56401.675000	1.90
56401.678472	1.64
56401.681944	1.95
56401.685417	1.59
56401.688889	1.68
56401.692361	1.86
56401.695833	1.66
56401.699306	1.59
56401.702778	1.40
56401.706250	1.79
56401.709722	1.61
56401.713194	1.52
56401.716667	2.02
56401.720139	2.05
56401.723611	2.21
56401.727083	2.27
56401.730556	2.23
56401.734028	2.09
56401.737500	1.95
56401.740972	1.77
56401.744444	1.75
56401.747917	1.81
56401.751389	1.68
56401.754861	2.16
56401.758333	1.91
56401.761806	1.91
56401.765278	1.61
56401.772222	1.90
56401.775694	1.93
56401.779167	1.86
56401.782639	2.07
56401.786111	1.85
56401.789583	1.84
56401.793056	2.20
56401.796528	2.01
56401.800000	1.97
56401.803472	2.01
56401.806944	1.96
56401.810417	2.04
56401.813889	1.96
56401.817361	1.96
56401.820833	2.04
56401.824306	2.08
56401.827778	1.91
56401.831250	2.05
56401.834722	2.14
56401.838194	2.11
56401.841667	2.01
56401.845139	2.05
56401.848611	2.27
56401.852083	2.25
56401.855556	1.86
56401.859028	2.25
56401.862500	2.09
56401.865972	2.01
56401.869444	2.08
56401.872917	1.93
56401.876389	1.92
56401.879861	1.94
56401.883333	1.78
56401.886806	1.89
56401.890278	2.10
56401.893750	1.87
56401.897222	1.66
56401.900694	2.01
56401.904167	1.87
56401.907639	2.35
56401.911111	1.68
56401.914583	1.92
56401.918056	1.62
56401.921528	1.79
56401.925000	1.76
56401.928472	1.72
56401.931944	1.94
56401.935417	1.71
56401.938889	1.77
56401.942361	2.20
56401.945833	1.53
56401.949306	1.86
56401.952778	1.90
56401.956250	1.55
56401.959722	1.86
56401.963194	1.79
56401.966667	1.75
56401.970139	1.68
56401.973611	1.80
56401.977083	1.83
56401.980556	1.91
56401.984028	2.15
56401.987500	1.76
56401.990972	2.12
56401.994444	2.39
56401.997917	2.51
56402.001389	2.30
56402.004861	2.33
56402.008333	2.37
56402.011806	2.50
56402.015278	2.44
56402.018750	2.64
56402.022222	2.79
56402.025694	2.88
56402.029167	2.55
56402.032639	2.61
56402.036111	2.76
56402.039583	2.62
56402.043056	2.62
56402.046528	2.86
56402.050000	2.77
56402.053472	2.43
56402.056944	2.75
56402.060417	2.36
56402.063889	2.56
56402.067361	2.40
56402.070833	2.47
56402.074306	2.55
56402.077778	2.82
56402.081250	2.58
56402.084722	2.49
56402.088194	2.59
56402.091667	2.66
56402.095139	3.00
56402.098611	3.22
56402.102083	3.10
56402.105556	3.38
56402.109028	3.17
56402.112500	3.10
56402.115972	2.66
56402.119444	3.01
56402.122917	2.65
56402.126389	2.72
56402.129861	2.87
56402.133333	3.11
56402.136806	3.18
56402.140278	3.17
56402.143750	3.08
56402.147222	3.05
56402.150694	2.99
56402.154167	2.89
56402.157639	3.00
56402.161111	3.16
56402.164583	3.10
56402.168056	2.85
56402.171528	3.06
56402.175000	2.87
56402.178472	2.85
56402.181944	3.03
56402.185417	2.81
56402.188889	3.03
56402.192361	3.40
56402.195833	3.43
56402.199306	2.93
56402.202778	2.90
56402.206250	3.07
56402.209722	2.53
56402.213194	2.98
56402.216667	2.99
56402.220139	2.85
56402.223611	2.76
56402.227083	2.94
56402.230556	2.79
56402.234028	3.19
56402.237500	3.02
56402.240972	3.24
56402.244444	3.27
56402.247917	3.28
56402.251389	3.03
56402.254861	2.99
56402.258333	3.08
56402.261806	3.04
56402.265278	2.64
56402.268750	2.71
56402.272222	2.71
56402.275694	2.91
56402.279167	3.49
56402.282639	2.84
56402.286111	3.11
56402.289583	3.81
56402.293056	2.83
56402.296528	3.05
56402.300000	3.48
56402.303472	3.78
56402.306944	4.13
56402.310417	4.03
56402.313889	3.63
56402.317361	3.08
56402.320833	3.20
56402.324306	3.15
56402.327778	2.85
56402.331250	3.10
56402.334722	3.51
56402.338194	3.38
56402.341667	3.43
56402.345139	3.98
56402.348611	6.39
56402.352083	6.02
56402.355556	5.92
56402.359028	5.67
56402.362500	5.41
56402.365972	3.92
56402.369444	4.08
56402.372917	3.67
56402.376389	3.05
56402.379861	2.83
56402.383333	3.12
56402.386806	2.94
56402.390278	2.68
56402.393750	2.57
56402.397222	2.38
56402.400694	2.24
56402.404167	2.24
56402.407639	2.33
56402.411111	2.29
56402.414583	2.19
56402.418056	2.86
56402.421528	2.68
56402.425000	2.65
56402.428472	2.04
56402.431944	2.56
56402.435417	2.73
56402.438889	3.23
56402.442361	2.57
56402.445833	2.46
56402.449306	2.21
56402.452778	2.44
56402.456250	2.27
56402.459722	2.24
56402.463194	1.95
56402.466667	2.51
56402.470139	3.14
56402.473611	3.11
56402.477083	2.80
56402.480556	2.99
56402.484028	2.72
56402.487500	2.77
56402.490972	2.73
56402.494444	2.42
56402.497917	2.52
56402.501389	2.52
56402.504861	2.40
56402.508333	2.83
56402.511806	3.66
56402.515278	2.74
56402.518750	2.38
56402.522222	3.54
56402.525694	2.88
56402.529167	2.76
56402.532639	3.57
56402.536111	3.09
56402.539583	3.62
56402.543056	3.39
56402.546528	3.46
56402.550000	3.05
56402.553472	4.40
56402.556944	3.66
56402.560417	3.70
56402.563889	3.25
56402.567361	3.97
56402.570833	3.79
56402.574306	3.57
56402.578472	3.83
56402.581944	3.42
56402.585417	4.40
56402.588889	3.41
56402.592361	4.11
56402.595833	3.69
56402.599306	3.67
56402.602778	3.44
56402.606250	3.36
56402.609722	2.69
56402.613194	1.58
56402.616667	3.24
56402.620139	3.36
56402.623611	3.33
56402.627083	3.33
56402.630556	3.14
56402.634028	2.83
56402.637500	3.64
56402.640972	3.35
56402.644444	3.14
56402.647917	3.53
56402.651389	3.38
56402.654861	3.67
56402.658333	2.72
56402.661806	2.98
56402.665278	3.04
56402.668750	3.18
56402.672222	3.07
56402.675694	3.30
56402.679167	1.92
56402.682639	2.65
56402.686111	2.56
56402.689583	2.66
56402.693056	2.79
56402.696528	2.74
56402.700000	2.64
56402.703472	2.46
56402.706944	2.58
56402.710417	2.38
56402.713889	2.31
56402.717361	2.46
56402.720833	2.14
56402.724306	2.53
56402.727778	2.32
56402.731250	2.18
56402.734722	2.01
56402.738194	2.51
56402.741667	1.88
56402.748611	0.53
56402.752083	0.30
56402.755556	0.34
56402.759028	0.40
56402.762500	0.32
56402.765972	0.30
56402.769444	0.23
